Plot,G,T,S,Time,Sampling,Flowering,DW_mg
203,1,3,3,4,8/1/2017,7/8/2017,145.408912
204,2,2,4,4,8/1/2017,7/8/2017,134.482821
205,3,3,5,4,8/1/2017,7/11/2017,97.722141
206,1,1,6,4,8/1/2017,7/8/2017,151.331466
207,2,3,7,4,8/1/2017,7/8/2017,111.30317
208,3,1,8,4,8/1/2017,7/5/2017,173.285761
209,1,2,9,4,8/1/2017,7/5/2017,162.257557
301,3,1,1,4,8/1/2017,7/9/2017,119.370097
302,1,2,2,4,8/1/2017,7/8/2017,115.898255
303,2,3,3,4,8/1/2017,7/11/2017,95.373542
304,3,2,4,4,8/1/2017,7/7/2017,142.141296
305,1,3,5,4,8/1/2017,7/8/2017,125.59899
306,3,1,6,4,8/1/2017,7/12/2017,95.373542
307,1,3,7,4,8/1/2017,7/8/2017,128.151815
308,2,1,8,4,8/1/2017,7/9/2017,110.588379
309,2,2,9,4,8/1/2017,7/8/2017,126.211668
101,1,1,1,5,8/4/2017,7/8/2017,156.30765
102,2,2,2,5,8/4/2017,7/6/2017,156.10531
103,3,3,3,5,8/4/2017,7/9/2017,134.05025
104,1,2,4,5,8/4/2017,7/8/2017,177.95803
105,2,3,5,5,8/4/2017,7/10/2017,117.05369
106,2,1,6,5,8/4/2017,7/10/2017,125.14729
107,3,3,7,5,8/4/2017,7/8/2017,173.0007
108,1,1,8,5,8/4/2017,7/8/2017,174.51825
109,3,2,9,5,8/4/2017,7/5/2017,190.70545
201,2,1,1,5,8/4/2017,7/8/2017,165.51412
202,3,2,2,5,8/4/2017,7/7/2017,177.0475
203,1,3,3,5,8/4/2017,7/7/2017,175.42878
204,2,2,4,5,8/4/2017,7/8/2017,168.34688
205,3,3,5,5,8/4/2017,7/9/2017,143.25672
206,1,1,6,5,8/4/2017,7/8/2017,170.26911
207,2,3,7,5,8/4/2017,7/12/2017,102.68755
208,3,1,8,5,8/4/2017,7/8/2017,175.93463
209,1,2,9,5,8/4/2017,7/5/2017,186.1528
301,3,1,1,5,8/4/2017,7/7/2017,176.23814
302,1,2,2,5,8/4/2017,7/11/2017,136.27599
303,2,3,3,5,8/4/2017,7/11/2017,112.60221
304,3,2,4,5,8/4/2017,7/7/2017,177.85686
305,1,3,5,5,8/4/2017,7/9/2017,144.57193
306,3,1,6,5,8/4/2017,7/9/2017,170.06677
307,1,3,7,5,8/4/2017,7/8/2017,144.6731
308,2,1,8,5,8/4/2017,7/8/2017,150.64213
309,2,2,9,5,8/4/2017,7/8/2017,170.26911
101,1,1,1,6,8/8/2017,7/8/2017,204.66652
102,2,2,2,6,8/8/2017,7/9/2017,145.67084
103,3,3,3,6,8/8/2017,7/9/2017,117.89034
104,1,2,4,6,8/8/2017,7/8/2017,180.01764
105,2,3,5,6,8/8/2017,7/11/2017,141.9331
106,2,1,6,6,8/8/2017,7/8/2017,162.6422
107,3,3,7,6,8/8/2017,7/7/2017,204.5655
108,1,1,8,6,8/8/2017,7/7/2017,220.2236
109,3,2,9,6,8/8/2017,7/5/2017,189.81658
201,2,1,1,6,8/8/2017,7/10/2017,145.9739
202,3,2,2,6,8/8/2017,7/8/2017,180.52274
203,1,3,3,6,8/8/2017,7/8/2017,179.71458
204,2,2,4,6,8/8/2017,7/7/2017,188.30128
205,3,3,5,6,8/8/2017,7/8/2017,181.836
206,1,1,6,6,8/8/2017,7/6/2017,191.23086
207,2,3,7,6,8/8/2017,7/8/2017,155.26774
208,3,1,8,6,8/8/2017,7/6/2017,214.06138
209,1,2,9,6,8/8/2017,7/8/2017,189.4125
301,3,1,1,6,8/8/2017,7/7/2017,166.48096
302,1,2,2,6,8/8/2017,7/6/2017,188.09924
303,2,3,3,6,8/8/2017,7/11/2017,139.30658
304,3,2,4,6,8/8/2017,7/6/2017,207.89916
305,1,3,5,6,8/8/2017,7/10/2017,169.41054
306,3,1,6,6,8/8/2017,7/10/2017,179.71458
307,1,3,7,6,8/8/2017,7/8/2017,192.24106
308,2,1,8,6,8/8/2017,7/9/2017,174.96664
309,2,2,9,6,8/8/2017,7/9/2017,165.97586
101,1,1,1,7,8/11/2017,7/8/2017,218.3052
102,2,2,2,7,8/11/2017,7/7/2017,183.15606
103,3,3,3,7,8/11/2017,7/8/2017,214.09932
104,1,2,4,7,8/11/2017,7/7/2017,195.7737
105,2,3,5,7,8/11/2017,7/9/2017,175.84584
106,2,1,6,7,8/11/2017,7/8/2017,165.43128
107,3,3,7,7,8/11/2017,7/8/2017,190.06572
108,1,1,8,7,8/11/2017,7/10/2017,162.52722
109,3,2,9,7,8/11/2017,7/6/2017,229.12032
201,2,1,1,7,8/11/2017,7/8/2017,194.37174
202,3,2,2,7,8/11/2017,7/8/2017,211.69596
203,1,3,3,7,8/11/2017,7/10/2017,193.17006
204,2,2,4,7,8/11/2017,7/7/2017,184.05732
205,3,3,5,7,8/11/2017,7/10/2017,199.97958
206,1,1,6,7,8/11/2017,7/9/2017,195.57342
207,2,3,7,7,8/11/2017,7/8/2017,198.37734
208,3,1,8,7,8/11/2017,7/8/2017,221.70996
209,1,2,9,7,8/11/2017,7/5/2017,223.01178
301,3,1,1,7,8/11/2017,7/8/2017,242.13852
302,1,2,2,7,8/11/2017,7/9/2017,190.16586
303,2,3,3,7,8/11/2017,7/12/2017,174.7443
304,3,2,4,7,8/11/2017,7/6/2017,218.20506
305,1,3,5,7,8/11/2017,7/7/2017,220.00758
306,3,1,6,7,8/11/2017,7/8/2017,213.7989
307,1,3,7,7,8/11/2017,7/8/2017,204.08532
308,2,1,8,7,8/11/2017,7/9/2017,212.89764
309,2,2,9,7,8/11/2017,7/7/2017,236.8311
101,1,1,1,8,8/15/2017,7/8/2017,274.14315
102,2,2,2,8,8/15/2017,7/8/2017,225.20685
103,3,3,3,8,8/15/2017,7/11/2017,228.90204
104,1,2,4,8,8/15/2017,7/9/2017,238.28982
105,2,3,5,8,8/15/2017,7/12/2017,162.7881
106,2,1,6,8,8/15/2017,7/7/2017,190.85157
107,3,3,7,8,8/15/2017,7/7/2017,237.49086
108,1,1,8,8,8/15/2017,7/12/2017,204.33402
109,3,2,9,8,8/15/2017,7/5/2017,271.6464
201,2,1,1,8,8/15/2017,7/9/2017,203.93454
202,3,2,2,8,8/15/2017,7/8/2017,243.58293
203,1,3,3,8,8/15/2017,7/9/2017,207.03051
204,2,2,4,8,8/15/2017,7/7/2017,202.63623
205,3,3,5,8,8/15/2017,7/11/2017,284.03028
206,1,1,6,8,8/15/2017,7/7/2017,288.12495
207,2,3,7,8,8/15/2017,7/10/2017,181.96314
208,3,1,8,8,8/15/2017,7/8/2017,243.18345
209,1,2,9,8,8/15/2017,7/7/2017,260.96031
301,3,1,1,8,8/15/2017,7/8/2017,258.46356
302,1,2,2,8,8/15/2017,7/8/2017,234.6945
303,2,3,3,8,8/15/2017,7/6/2017,221.41179
304,3,2,4,8,8/15/2017,7/7/2017,248.47656
305,1,3,5,8,8/15/2017,7/7/2017,251.77227
306,3,1,6,8,8/15/2017,7/10/2017,223.20945
307,1,3,7,8,8/15/2017,7/10/2017,195.64533
308,2,1,8,8,8/15/2017,7/7/2017,252.17175
309,2,2,9,8,8/15/2017,7/8/2017,253.07058
101,1,1,1,9,8/18/2017,7/8/2017,250.5807
102,2,2,2,9,8/18/2017,7/8/2017,254.22372
103,3,3,3,9,8/18/2017,7/9/2017,141.68394
104,1,2,4,9,8/18/2017,7/8/2017,263.97126
105,2,3,5,9,8/18/2017,7/11/2017,188.74782
106,2,1,6,9,8/18/2017,7/8/2017,233.74404
107,3,3,7,9,8/18/2017,7/6/2017,272.04498
108,1,1,8,9,8/18/2017,7/5/2017,296.26614
109,3,2,9,9,8/18/2017,7/6/2017,252.64836
201,2,1,1,9,8/18/2017,7/8/2017,246.15
202,3,2,2,9,8/18/2017,7/7/2017,242.50698
203,1,3,3,9,8/18/2017,7/8/2017,272.93112
204,2,2,4,9,8/18/2017,7/9/2017,251.36838
205,3,3,5,9,8/18/2017,7/8/2017,246.15
206,1,1,6,9,8/18/2017,7/7/2017,263.97126
207,2,3,7,9,8/18/2017,7/11/2017,247.72536
208,3,1,8,9,8/18/2017,7/6/2017,258.26058
209,1,2,9,9,8/18/2017,7/6/2017,240.83316
301,3,1,1,9,8/18/2017,7/7/2017,255.10986
302,1,2,2,9,8/18/2017,7/8/2017,208.63674
303,2,3,3,9,8/18/2017,7/9/2017,212.47668
304,3,2,4,9,8/18/2017,7/5/2017,273.91572
305,1,3,5,9,8/18/2017,7/8/2017,234.53172
306,3,1,6,9,8/18/2017,7/12/2017,228.03336
307,1,3,7,9,8/18/2017,7/14/2017,216.90738
308,2,1,8,9,8/18/2017,7/15/2017,182.6433
309,2,2,9,9,8/18/2017,7/9/2017,301.18914
101,1,1,1,10,8/22/2017,7/9/2017,262.10052
102,2,2,2,10,8/22/2017,7/11/2017,223.0119
103,3,3,3,10,8/22/2017,7/11/2017,274.30956
104,1,2,4,10,8/22/2017,7/7/2017,267.22044
105,2,3,5,10,8/22/2017,7/9/2017,209.32596
106,2,1,6,10,8/22/2017,7/13/2017,221.535
107,3,3,7,10,8/22/2017,7/8/2017,291.04776
108,1,1,8,10,8/22/2017,7/5/2017,280.70946
109,3,2,9,10,8/22/2017,7/10/2017,282.48174
201,2,1,1,10,8/22/2017,7/10/2017,221.83038
202,3,2,2,10,8/22/2017,7/8/2017,271.06038
203,1,3,3,10,8/22/2017,7/8/2017,277.26336
204,2,2,4,10,8/22/2017,7/8/2017,245.55924
205,3,3,5,10,8/22/2017,7/8/2017,289.37394
206,1,1,6,10,8/22/2017,7/12/2017,282.5802
207,2,3,7,10,8/22/2017,7/9/2017,245.06694
208,3,1,8,10,8/22/2017,7/11/2017,276.57414
209,1,2,9,10,8/22/2017,7/5/2017,298.13688
301,3,1,1,10,8/22/2017,7/8/2017,269.2881
302,1,2,2,10,8/22/2017,7/5/2017,257.9652
303,2,3,3,10,8/22/2017,7/13/2017,218.5812
304,3,2,4,10,8/22/2017,7/6/2017,234.72864
305,1,3,5,10,8/22/2017,7/8/2017,248.51304
306,3,1,6,10,8/22/2017,7/8/2017,281.79252
307,1,3,7,10,8/22/2017,7/8/2017,265.05432
308,2,1,8,10,8/22/2017,7/14/2017,254.81448
309,2,2,9,10,8/22/2017,7/8/2017,275.88492
101,1,1,1,11,8/25/2017,7/8/2017,283.2288
102,2,2,2,11,8/25/2017,7/7/2017,298.6812
103,3,3,3,11,8/25/2017,7/9/2017,273.2532
104,1,2,4,11,8/25/2017,7/7/2017,290.1726
105,2,3,5,11,8/25/2017,7/9/2017,251.0526
106,2,1,6,11,8/25/2017,7/9/2017,217.8984
107,3,3,7,11,8/25/2017,7/8/2017,289.3902
108,1,1,8,11,8/25/2017,7/7/2017,300.0504
109,3,2,9,11,8/25/2017,7/6/2017,320.5884
201,2,1,1,11,8/25/2017,7/8/2017,253.791
202,3,2,2,11,8/25/2017,7/8/2017,266.8962
203,1,3,3,11,8/25/2017,7/8/2017,298.29
204,2,2,4,11,8/25/2017,7/7/2017,231.297
205,3,3,5,11,8/25/2017,7/9/2017,288.51
206,1,1,6,11,8/25/2017,7/7/2017,312.3732
207,2,3,7,11,8/25/2017,7/9/2017,228.852
208,3,1,8,11,8/25/2017,7/7/2017,306.7008
209,1,2,9,11,8/25/2017,7/5/2017,276.3828
301,3,1,1,11,8/25/2017,7/7/2017,289.488
302,1,2,2,11,8/25/2017,7/7/2017,267.0918
303,2,3,3,11,8/25/2017,7/10/2017,224.94
304,3,2,4,11,8/25/2017,7/6/2017,307.3854
305,1,3,5,11,8/25/2017,7/8/2017,254.9646
306,3,1,6,11,8/25/2017,7/9/2017,326.163
307,1,3,7,11,8/25/2017,7/9/2017,273.7422
308,2,1,8,11,8/25/2017,7/9/2017,284.9892
309,2,2,9,11,8/25/2017,7/8/2017,237.2628
101,1,1,1,12,8/29/2017,7/8/2017,245.967
102,2,2,2,12,8/29/2017,7/7/2017,297.6054
103,3,3,3,12,8/29/2017,7/9/2017,270.6126
104,1,2,4,12,8/29/2017,7/7/2017,265.1358
105,2,3,5,12,8/29/2017,7/9/2017,197.067
106,2,1,6,12,8/29/2017,7/9/2017,319.6104
107,3,3,7,12,8/29/2017,7/7/2017,321.0774
108,1,1,8,12,8/29/2017,7/9/2017,284.2068
109,3,2,9,12,8/29/2017,7/6/2017,293.889
201,2,1,1,12,8/29/2017,7/7/2017,219.2676
202,3,2,2,12,8/29/2017,7/8/2017,301.4196
203,1,3,3,12,8/29/2017,7/8/2017,327.7278
204,2,2,4,12,8/29/2017,7/7/2017,252.2262
205,3,3,5,12,8/29/2017,7/9/2017,336.0408
206,1,1,6,12,8/29/2017,7/7/2017,319.6104
207,2,3,7,12,8/29/2017,7/9/2017,292.3242
208,3,1,8,12,8/29/2017,7/7/2017,349.146
209,1,2,9,12,8/29/2017,7/5/2017,297.1164
301,3,1,1,12,8/29/2017,7/7/2017,303.4734
302,1,2,2,12,8/29/2017,7/7/2017,211.9326
303,2,3,3,12,8/29/2017,7/10/2017,213.9864
304,3,2,4,12,8/29/2017,7/6/2017,343.8648
305,1,3,5,12,8/29/2017,7/8/2017,304.4514
306,3,1,6,12,8/29/2017,7/9/2017,309.3414
307,1,3,7,12,8/29/2017,7/9/2017,292.6176
308,2,1,8,12,8/29/2017,7/9/2017,305.8206
309,2,2,9,12,8/29/2017,7/8/2017,295.9428
101,1,1,1,13,9/1/2017,7/8/2017,262.2996
102,2,2,2,13,9/1/2017,7/7/2017,241.7616
103,3,3,3,13,9/1/2017,7/9/2017,299.3658
104,1,2,4,13,9/1/2017,7/7/2017,281.4684
105,2,3,5,13,9/1/2017,7/9/2017,254.8668
106,2,1,6,13,9/1/2017,7/9/2017,211.1502
107,3,3,7,13,9/1/2017,7/7/2017,326.7498
108,1,1,8,13,9/1/2017,7/7/2017,321.1752
109,3,2,9,13,9/1/2017,7/6/2017,324.696
201,2,1,1,13,9/1/2017,7/8/2017,234.0354
202,3,2,2,13,9/1/2017,7/8/2017,323.229
203,1,3,3,13,9/1/2017,7/8/2017,252.324
204,2,2,4,13,9/1/2017,7/7/2017,240.1968
205,3,3,5,13,9/1/2017,7/9/2017,328.8036
206,1,1,6,13,9/1/2017,7/7/2017,279.6102
207,2,3,7,13,9/1/2017,7/9/2017,264.1578
208,3,1,8,13,9/1/2017,7/7/2017,307.581
209,1,2,9,13,9/1/2017,7/5/2017,346.701
301,3,1,1,13,9/1/2017,7/7/2017,296.7252
302,1,2,2,13,9/1/2017,7/7/2017,250.0746
303,2,3,3,13,9/1/2017,7/10/2017,234.4266
304,3,2,4,13,9/1/2017,7/6/2017,371.5422
305,1,3,5,13,9/1/2017,7/8/2017,291.3462
306,3,1,6,13,9/1/2017,7/9/2017,319.2192
307,1,3,7,13,9/1/2017,7/9/2017,326.2608
308,2,1,8,13,9/1/2017,7/9/2017,249.2922
309,2,2,9,13,9/1/2017,7/8/2017,320.9796
101,1,1,1,14,9/6/2017,7/8/2017,290.7594
102,2,2,2,14,9/6/2017,7/7/2017,276.3828
103,3,3,3,14,9/6/2017,7/9/2017,285.7716
104,1,2,4,14,9/6/2017,7/7/2017,267.483
105,2,3,5,14,9/6/2017,7/9/2017,200.6856
106,2,1,6,14,9/6/2017,7/9/2017,213.3018
107,3,3,7,14,9/6/2017,7/7/2017,376.53
108,1,1,8,14,9/6/2017,7/7/2017,316.1874
109,3,2,9,14,9/6/2017,7/6/2017,322.8378
201,2,1,1,14,9/6/2017,7/8/2017,232.8618
202,3,2,2,14,9/6/2017,7/8/2017,281.2728
203,1,3,3,14,9/6/2017,7/8/2017,333.987
204,2,2,4,14,9/6/2017,7/7/2017,209.0964
205,3,3,5,14,9/6/2017,7/9/2017,262.6908
206,1,1,6,14,9/6/2017,7/7/2017,291.8352
207,2,3,7,14,9/6/2017,7/9/2017,260.8326
208,3,1,8,14,9/6/2017,7/7/2017,307.2876
209,1,2,9,14,9/6/2017,7/5/2017,292.0308
301,3,1,1,14,9/6/2017,7/7/2017,292.2264
302,1,2,2,14,9/6/2017,7/7/2017,274.7202
303,2,3,3,14,9/6/2017,7/10/2017,237.0672
304,3,2,4,14,9/6/2017,7/6/2017,290.0748
305,1,3,5,14,9/6/2017,7/8/2017,315.5028
306,3,1,6,14,9/6/2017,7/9/2017,320.6862
307,1,3,7,14,9/6/2017,7/9/2017,272.7642
308,2,1,8,14,9/6/2017,7/9/2017,302.4954
309,2,2,9,14,9/6/2017,7/8/2017,230.5146
101,1,1,1,15,9/13/2017,7/8/2017,273.4488
102,2,2,2,15,9/13/2017,7/7/2017,297.4098
103,3,3,3,15,9/13/2017,7/9/2017,299.5614
104,1,2,4,15,9/13/2017,7/7/2017,287.4342
105,2,3,5,15,9/13/2017,7/9/2017,204.3042
106,2,1,6,15,9/13/2017,7/9/2017,228.5586
107,3,3,7,15,9/13/2017,7/7/2017,309.2436
108,1,1,8,15,9/13/2017,7/7/2017,296.4318
109,3,2,9,15,9/13/2017,7/6/2017,350.4174
201,2,1,1,15,9/13/2017,7/8/2017,254.1822
202,3,2,2,15,9/13/2017,7/8/2017,295.845
203,1,3,3,15,9/13/2017,7/8/2017,311.493
204,2,2,4,15,9/13/2017,7/7/2017,255.0624
205,3,3,5,15,9/13/2017,7/9/2017,315.405
206,1,1,6,15,9/13/2017,7/7/2017,281.8596
207,2,3,7,15,9/13/2017,7/9/2017,252.2262
208,3,1,8,15,9/13/2017,7/7/2017,325.0872
209,1,2,9,15,9/13/2017,7/5/2017,324.696
301,3,1,1,15,9/13/2017,7/7/2017,324.4026
302,1,2,2,15,9/13/2017,7/7/2017,261.2238
303,2,3,3,15,9/13/2017,7/10/2017,269.3412
304,3,2,4,15,9/13/2017,7/6/2017,317.85
305,1,3,5,15,9/13/2017,7/8/2017,332.6178
306,3,1,6,15,9/13/2017,7/9/2017,348.4614
307,1,3,7,15,9/13/2017,7/9/2017,308.1678
308,2,1,8,15,9/13/2017,7/9/2017,281.2728
309,2,2,9,15,9/13/2017,7/8/2017,302.3976
101,1,1,1,16,9/20/2017,7/8/2017,309.537
102,2,2,2,16,9/20/2017,7/7/2017,271.7862
103,3,3,3,16,9/20/2017,7/9/2017,257.6052
104,1,2,4,16,9/20/2017,7/7/2017,248.412
105,2,3,5,16,9/20/2017,7/9/2017,246.8472
106,2,1,6,16,9/20/2017,7/9/2017,224.94
107,3,3,7,16,9/20/2017,7/7/2017,288.3144
108,1,1,8,16,9/20/2017,7/7/2017,295.7472
109,3,2,9,16,9/20/2017,7/6/2017,349.0482
201,2,1,1,16,9/20/2017,7/8/2017,203.7174
202,3,2,2,16,9/20/2017,7/8/2017,312.471
203,1,3,3,16,9/20/2017,7/8/2017,306.2118
204,2,2,4,16,9/20/2017,7/6/2017,334.3782
205,3,3,5,16,9/20/2017,7/9/2017,345.0384
206,1,1,6,16,9/20/2017,7/7/2017,294.5736
207,2,3,7,16,9/20/2017,7/9/2017,248.6076
208,3,1,8,16,9/20/2017,7/7/2017,333.4002
209,1,2,9,16,9/20/2017,7/5/2017,273.5466
301,3,1,1,16,9/20/2017,7/7/2017,295.7472
302,1,2,2,16,9/20/2017,7/7/2017,277.8498
303,2,3,3,16,9/20/2017,7/10/2017,244.5
304,3,2,4,16,9/20/2017,7/6/2017,267.5808
305,1,3,5,16,9/20/2017,7/8/2017,326.5542
306,3,1,6,16,9/20/2017,7/9/2017,307.8744
307,1,3,7,16,9/20/2017,7/9/2017,348.4614
308,2,1,8,16,9/20/2017,7/9/2017,242.6418
309,2,2,9,16,9/20/2017,7/8/2017,321.6642
